clave_municipio,entidad,mpio,gdp_tourism,gdp_toursim_ss,numero_hospitales,poblacion_2022,popnoafmed2015,gini2015,popden2020,crimen_2018,crimen_2019,inclusion_fin_2019,porcentaje_pob_pobreza,porcentaje_pob_servicios_salud,pob_6-14_no_edu,rezago_social,grado_rs
1001,Aguascalientes,Aguascalientes,14292478552,0.949708328,1289,961977,14.337,0.392,811.991,7.36,8.15,1.78,23.68,20.02,4.6,-1.32,Muy bajo
1002,Aguascalientes,Asientos,266325722.1,0.017696844,22,50864,5.774,0.37,94.087,7.81,5.78,0,40.13,16.47,6.29,-0.86,Muy bajo
1003,Aguascalientes,Calvillo,263194957.1,0.01748881,50,60760,9.974,0.375,62.549,8.4,8.31,1.16,45.76,21.03,6.95,-0.92,Muy bajo
1004,Aguascalientes,Cosio,170099139,0.011302768,8,16918,5.283,0.37,131.885,17.86,0,0,37.04,17.59,5.7,-1,Muy bajo
1005,Aguascalientes,Jesus Maria,17075044.64,0.001134605,60,130184,14.024,0.402,260.285,5.14,10.98,0.36,26.34,21.08,5.88,-1.17,Muy bajo
1006,Aguascalientes,Pabellon de Arteaga,13905706.28,0.000924008,40,50032,10.23,0.389,239.019,4.32,0,1.2,28.92,21.09,4.44,-1.17,Muy bajo
1007,Aguascalientes,Rincon de Romos,13143610.33,0.000873368,44,57981,10.801,0.396,153.833,7.33,5.43,1.03,40.51,22.35,4.38,-1.07,Muy bajo
1008,Aguascalientes,San Jose de Gracia,5245425.137,0.000348549,7,9661,5.834,0.418,11.147,0,0,0,45.77,8.14,5.74,-0.96,Muy bajo
1009,Aguascalientes,Tepezala,4684324.291,0.000311265,12,22743,8.344,0.371,98.239,4.49,4.43,0,37.65,17.03,5.37,-0.9,Muy bajo
1010,Aguascalientes,El Llano,3182272.835,0.000211456,7,21947,8.748,0.37,41.635,0,0,0,40.61,22.98,4.4,-0.83,Muy bajo
1011,Aguascalientes,San Francisco de los Romo,,,20,51568,12.003,0.366,462.423,7.05,16.21,0.33,37.79,23.71,6.43,-1.08,Muy bajo
2001,Baja California,Ensenada,30943078647,0.442256119,524,536143,14.15,0.373,8.543,36.84,41.07,1.32,22.3,19.47,5.46,-0.97,Muy bajo
2002,Baja California,Mexicali,17786013226,0.25420784,986,1087478,15.727,0.365,76.688,10.79,9.08,1.51,20.22,18.6,4.88,-1.24,Muy bajo
2003,Baja California,Tecate,10435533998,0.149150601,89,113857,11.652,0.364,35.219,51.92,63.23,1.02,21.11,21.81,6.04,-1.02,Muy bajo
